Table 6 (from OanaFreddy.pdf)
============================================================
All 48 genus 0 curves X = X_0^D(N)/W, with W <= W_0(D,N)
nontrivial, for which the authors remain unsure of whether
X(Q) = empty.

Columns: D, N, W

  D    N    W
------------------------------------------------------------
  6    25   <w2, w75>
  6    25   <w6, w25>
  6    35   <w5, w6, w14>
  6    35   <w6, w7, w10>
  6    49   <w6, w49>
  6    55   <w3, w10, w22>
  6    55   <w6, w10, w11>
  6    77   <w2, w21, w33>
  6    77   <w6, w11, w14>
  10   7    <w2, w5>
  10   7    <w5, w7>
  10   7    <w10, w14>
  10   9    <w2, w45>
  10   9    <w5, w18>
  10   21   <w3, w5, w7>
  10   21   <w3, w10, w14>
  10   33   <w2, w15, w33>
  10   69   <w3, w5, w46>
  10   77   <w7, w10, w11>
  14   9    <w9, w14>
  14   15   <w3, w10, w14>
  14   15   <w5, w6, w14>
  14   39   <w3, w13, w14>
  15   8    <w8, w15>
  15   8    <w15, w24>
  15   14   <w6, w7, w10>
  15   22   <w3, w10, w22>
  15   34   <w2, w15, w17>
  21   4    <w4, w7>
  21   4    <w7, w12>
  21   10   <w2, w15, w21>
  21   22   <w6, w7, w22>
  22   15   <w6, w10, w11>
  22   21   <w3, w14, w22>
  26   5    <w10, w26>
  26   21   <w3, w7, w26>
  33   10   <w2, w15, w33>
  34   3    <w3, w17>
  35   6    <w2, w15, w21>
  39   4    <w4, w39>
  39   4    <w12, w39>
  51   2    <w6, w34>
  51   5    <w5, w51>
  55   2    <w2, w55>
  87   2    <w2, w87>
  95   2    <w10, w38>
  111  2    <w2, w111>
  390  7    <w3, w7, w10, w13>
------------------------------------------------------------
Total: 48 curves
