[SIG] 10 13 sgn=1   diag=[ -3386, -21580/1693, 65/83 ] det=33800 signature=(1,2)
[DIFF] 10 13 sgn=1   m=2    finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=3    finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=7    finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=8    finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=12   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=13   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=14   finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=17   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=18   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=22   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=23   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=27   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=28   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=30   finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=32   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=33   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=37   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=38   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=42   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=43   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=46   finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=47   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=48   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=50   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=52   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=53   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=56   finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=57   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=58   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=62   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=63   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=67   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=68   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=72   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=73   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=75   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=77   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=78   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=82   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=83   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=87   finite_fail=[ 5 ] arch_fail=false
