[SIG] 34 5 sgn=1   diag=[ -15322, 1700/7661, -17 ] det=57800 signature=(1,2)
[DIFF] 34 5 sgn=1   m=1    finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=2    finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=4    finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=8    finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=9    finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=13   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=14   finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=15   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=16   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=18   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=19   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=21   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=25   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=26   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=30   finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=32   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=33   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=35   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=36   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=38   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=42   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=43   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=46   finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=47   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=49   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=50   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=52   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=53   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=55   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=56   finite_fail=[ 2 ] arch_fail=false
