[SIG] 6 19 sgn=1   diag=[ -262, -114/131, 114 ] det=25992 signature=(1,2)
[DIFF] 6 19 sgn=1   m=1    finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=4    finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=7    finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=9    finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=10   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=13   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=14   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=16   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=19   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=22   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=25   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=28   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=30   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=31   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=34   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=36   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=37   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=40   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=43   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=46   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=49   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=52   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=55   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=56   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=58   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=61   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=62   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=63   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=64   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=67   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=70   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=73   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=76   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=78   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=79   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=81   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=82   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=85   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=88   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=90   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=91   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=94   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=97   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=100  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=103  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=106  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=109  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=110  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=112  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=115  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=117  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=118  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=120  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=121  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=124  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=126  finite_fail=[ 2 ] arch_fail=false
