BASE 15 2  |A2| = 14400  invariants [ 4, 60, 60 ]

CATALOGUE (t, u): count, |C|, C-invts, dim inv(rho_C), dim inv(rho*_C), y0s
CLASS t=2 u=1  count=2  |C|=3600 C=[ 60, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=2 u=3  count=4  |C|=3600 C=[ 60, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=2 u=5  count=2  |C|=3600 C=[ 60, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=2 u=7  count=8  |C|=3600 C=[ 60, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=6 u=1  count=8  |C|=1200 C=[ 20, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=6 u=5  count=16  |C|=1200 C=[ 20, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=6 u=7  count=4  |C|=1200 C=[ 20, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=6 u=11  count=4  |C|=1200 C=[ 20, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=6 u=13  count=16  |C|=1200 C=[ 20, 60 ]  dim=0 y0=[]  dimdual=0 
y0dual=[]
CLASS t=6 u=17  count=8  |C|=1200 C=[ 20, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=6 u=19  count=4  |C|=1200 C=[ 20, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=6 u=23  count=4  |C|=1200 C=[ 20, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=10 u=1  count=6  |C|=720 C=[ 12, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=10 u=3  count=24  |C|=720 C=[ 12, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=10 u=7  count=12  |C|=720 C=[ 12, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=10 u=11  count=24  |C|=720 C=[ 12, 60 ]  dim=0 y0=[]  dimdual=0 
y0dual=[]
CLASS t=10 u=13  count=6  |C|=720 C=[ 12, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=10 u=17  count=6  |C|=720 C=[ 12, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=10 u=21  count=6  |C|=720 C=[ 12, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=10 u=31  count=12  |C|=720 C=[ 12, 60 ]  dim=0 y0=[]  dimdual=0 
y0dual=[]
CLASS t=30 u=1  count=48  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=7  count=12  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=11  count=12  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=13  count=24  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=17  count=48  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=19  count=12  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=23  count=12  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=29  count=24  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=31  count=12  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=41  count=48  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=43  count=12  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=53  count=24  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=61  count=24  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=71  count=12  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=73  count=48  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
CLASS t=30 u=83  count=12  |C|=240 C=[ 4, 60 ]  dim=0 y0=[]  dimdual=0 y0dual=[]
