BASE 15 2 SCALE 1  |A| = 1800  invariants [ 2, 30, 30 ]
cyclic nondegenerate orthogonal summands: 174
  |Z| = 15  q(g) reps [ 30, 120 ]  scales c^2 q = [ 30, 120 ]  C = [ 2, 2, 30 ]
  |Z| = 5  q(g) reps [ 5, 20 ]  scales c^2 q = [ 5, 20 ]  C = [ 2, 6, 30 ]
  |Z| = 3  q(g) reps [ 1/3 ]  scales c^2 q = [ 3 ]  C = [ 2, 10, 30 ]
  |Z| = 30  q(g) reps [ 15, 735 ]  scales c^2 q = [ 15, 735 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 15, 735 ]  scales c^2 q = [ 15, 735 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 105, 645 ]  scales c^2 q = [ 105, 645 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 285, 465 ]  scales c^2 q = [ 285, 465 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 15, 735 ]  scales c^2 q = [ 15, 735 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 15, 735 ]  scales c^2 q = [ 15, 735 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 15, 735 ]  scales c^2 q = [ 15, 735 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 165, 885 ]  scales c^2 q = [ 165, 885 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 435, 615 ]  scales c^2 q = [ 435, 615 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 105, 645 ]  scales c^2 q = [ 105, 645 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 435, 615 ]  scales c^2 q = [ 435, 615 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 435, 615 ]  scales c^2 q = [ 435, 615 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 285, 465 ]  scales c^2 q = [ 285, 465 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 15, 735 ]  scales c^2 q = [ 15, 735 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 15, 735 ]  scales c^2 q = [ 15, 735 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 15, 735 ]  scales c^2 q = [ 15, 735 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 345, 705 ]  scales c^2 q = [ 345, 705 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 285, 465 ]  scales c^2 q = [ 285, 465 ]  C = [ 2, 30 ]
