BASE 22 3  M = 132  ds = [ 1, 2, 3, 4, 6, 11, 12, 22, 33, 44, 66, 132 ]
#isotropic = 5 (2N-1 = 5)
#cosets = 288
#monomials = 132
MONO 1 [ 3, -8, -9, 5, 23, -1, -9, 1, 1, 3, 5, -13 ]
MONO 2 [ 3, -7, -9, 2, 22, -1, -6, 0, 1, 4, 6, -14 ]
MONO 3 [ 3, -7, -9, 3, 20, -1, -3, 0, 1, 5, 8, -19 ]
MONO 4 [ 3, -6, -9, 0, 19, -1, 0, -1, 1, 6, 9, -20 ]
MONO 5 [ 3, -5, -5, 1, 10, -5, -1, 12, 1, -1, 4, -13 ]
MONO 6 [ 3, -5, -4, 2, 8, -7, -1, 14, 4, -2, 0, -11 ]
MONO 7 [ 3, -4, -5, -1, 7, -5, 5, 11, 1, 1, 7, -19 ]
MONO 8 [ 3, -4, -5, 1, 10, -2, -2, 2, 0, 3, 9, -14 ]
MONO 9 [ 3, -4, -4, 0, 5, -7, 5, 13, 4, 0, 3, -17 ]
MONO 10 [ 3, -4, -4, 2, 7, -1, -1, -2, 2, 5, 10, -16 ]
MONO 11 [ 3, -3, -5, -1, 7, -2, 4, 1, 0, 5, 12, -20 ]
MONO 12 [ 3, -3, -4, 0, 4, -1, 5, -3, 2, 7, 13, -22 ]
MONO 13 [ 4, -10, -12, 4, 29, -1, -10, 0, 1, 4, 4, -12 ]
MONO 14 [ 4, -9, -12, 2, 26, -1, -4, -1, 1, 6, 7, -18 ]
MONO 15 [ 4, -8, -10, 2, 23, 0, -6, -1, 0, 4, 7, -14 ]
MONO 16 [ 4, -7, -10, 0, 20, 0, 0, -2, 0, 6, 10, -20 ]
MONO 17 [ 4, -6, -6, 2, 13, -1, -4, 4, -1, 2, 8, -14 ]
MONO 18 [ 4, -5, -6, 0, 10, -1, 2, 3, -1, 4, 11, -20 ]
MONO 19 [ 4, -5, -5, 1, 10, -3, -2, 5, 2, 3, 5, -14 ]
MONO 20 [ 4, -4, -5, -1, 7, -3, 4, 4, 2, 5, 8, -20 ]
MONO 21 [ 4, -4, -4, 0, 6, -4, 1, 9, 2, 0, 4, -13 ]
MONO 22 [ 4, -3, -4, -2, 3, -4, 7, 8, 2, 2, 7, -19 ]
MONO 23 [ 5, -7, -7, 4, 16, -1, -6, 1, 1, 3, 5, -13 ]
MONO 24 [ 5, -6, -7, 1, 15, -1, -3, 0, 1, 4, 6, -14 ]
MONO 25 [ 5, -6, -7, 2, 13, -1, 0, 0, 1, 5, 8, -19 ]
MONO 26 [ 5, -5, -7, -1, 12, -1, 3, -1, 1, 6, 9, -20 ]
MONO 27 [ 5, -4, -3, 0, 3, -5, 2, 12, 1, -1, 4, -13 ]
MONO 28 [ 5, -4, -3, 1, 4, -2, 0, 1, 0, 4, 10, -15 ]
MONO 29 [ 5, -3, -3, -2, 0, -5, 8, 11, 1, 1, 7, -19 ]
MONO 30 [ 5, -3, -3, -1, 1, -2, 6, 0, 0, 6, 13, -21 ]
MONO 31 [ 5, -3, -3, 0, 3, -2, 1, 2, 0, 3, 9, -14 ]
MONO 32 [ 5, -3, -2, 1, 0, -1, 2, -2, 2, 5, 10, -16 ]
MONO 33 [ 5, -2, -3, -2, 0, -2, 7, 1, 0, 5, 12, -20 ]
