# 169 pool, 1440 cosets in system
# pivots (0-based pool cols): [0, 1, 2, 4, 6, 7, 8, 17, 18, 31, 42, 43, 44, 47, 48]; residual beyond rank: 3.28e-47
# pivot beta snap err: 1.82e-44
  beta[1] = -102/25   r = [-4, 8, 2, -3, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
  beta[2] = 48/25   r = [-3, 6, -1, 0, 0, 3, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
  beta[3] = 36/5   r = [-3, 7, 0, -3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
  beta[5] = 18/5   r = [-2, 1, 4, 0, 0, 2, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
  beta[7] = -36/25   r = [-1, 0, 0, 4, -1, 0, 3, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
  beta[8] = 36/5   r = [-1, 0, 1, 0, 3, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
  beta[9] = -72/5   r = [-1, 0, 2, 0, 1, 1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
  beta[18] = -36/5   r = [-1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 7, 0, 0, -2, 0, 0]
  beta[19] = 72/5   r = [-1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 2, 1, 1, -1]
  beta[32] = 0   r = [0, -1, 0, 2, 0, 0, 0, -2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
  beta[43] = 0   r = [0, 0, -2, 0, 0, 5, 0, -3, -2, 0, 0, 6, 0, 1, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0]
  beta[44] = 0   r = [0, 0, -2, 0, 0, 5, 0, -2, -2, 0, 0, 1, 0, 6, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0]
  beta[45] = 0   r = [0, 0, -2, 0, 0, 5, 0, 0, -2, 0, 0, -3, 0, 0, 6, 0, 0, 1, 0, -2, 0, 0, 0, 0]
  beta[48] = 4   r = [0, 0, -2, 0, 0, 5, 0, 0, -2, 0, 0, 0, 0, 0, 0, -3, 0, 0, 6, 0, 1, 0, -2, 0]
  beta[49] = -3   r = [0, 0, -2, 0, 0, 5, 0, 0, -2, 0, 0, 0, 0, 0, 0, -2, 0, 0, 1, 0, 6, 0, -3, 0]
RATIONAL E_eis FOUND
