base     m     A_m(meas)   -a_E(m)      -a_E/4       +a_E/4       verdict
15_2     2     -1          0            0            0            no
15_2     10    1           4            -1           1            MATCH +a_E/4
15_2     30    0           4            -1           1            no
6_5      10    3/2         5            -5/4         5/4          no
6_5      15    1/2         0            0            0            no
6_5      30    3/2         5            -5/4         5/4          no
10_3     3     1/2         3/2          -3/8         3/8          no
10_3     12    1/2         3/2          -3/8         3/8          no
10_3     30    3/2         9/2          -9/8         9/8          no
21_2     2     -2          0            0            0            no
21_2     6     -4          0            0            0            no
21_2     18    2           0            0            0            no
21_2     42    -8          8/3          -2/3         2/3          no

MATCHED 1 of 13
