AVAIL = [ -2, -1, 8, 9, 10, 11, 12, 13, 14 ]
USED KEYS = [ -2, -1, 9, 10, 11, 12, 13, 14 ]
BASE 77 2  M = 308  ds = [ 1, 2, 4, 7, 11, 14, 22, 28, 44, 77, 154, 308 ]
#monomials = 2081
MONO 1 [ -192, 96, 1, 64, 63, -32, -33, 0, 2, 61, -24, -5 ]
MONO 2 [ -192, 97, 0, 63, 63, -31, -31, 0, 0, 64, -30, -2 ]
MONO 3 [ -192, 97, 0, 64, 62, -32, -30, 0, 0, 60, -26, -2 ]
MONO 4 [ -192, 97, 0, 64, 63, -33, -31, 3, 0, 61, -28, -3 ]
MONO 5 [ -192, 98, -1, 62, 59, -30, -21, 0, -4, 63, -32, -1 ]
MONO 6 [ -192, 98, -1, 62, 63, -30, -31, 0, 0, 59, -22, -5 ]
MONO 7 [ -192, 98, -1, 63, 61, -32, -25, 1, -2, 62, -30, -2 ]
MONO 8 [ -192, 98, -1, 63, 62, -32, -30, 1, 0, 63, -31, 0 ]
MONO 9 [ -191, 94, 2, 61, 61, -27, -28, -2, -1, 63, -32, 1 ]
MONO 10 [ -191, 95, 0, 61, 61, -28, -29, 0, 1, 63, -31, -1 ]
MONO 11 [ -191, 95, 0, 61, 62, -28, -29, 0, 0, 64, -31, -2 ]
MONO 12 [ -191, 95, 0, 63, 59, -32, -23, 2, -3, 63, -29, -3 ]
MONO 13 [ -191, 95, 1, 61, 61, -25, -28, -2, -1, 63, -31, -2 ]
MONO 14 [ -191, 95, 1, 62, 62, -29, -30, -1, 0, 61, -25, -4 ]
MONO 15 [ -191, 95, 1, 62, 63, -32, -31, 4, 0, 62, -29, -3 ]
MONO 16 [ -191, 95, 1, 62, 63, -30, -33, 0, 4, 62, -29, -3 ]
MONO 17 [ -191, 95, 1, 62, 63, -30, -31, 0, 0, 62, -31, 1 ]
MONO 18 [ -191, 95, 1, 62, 63, -29, -31, -1, 2, 62, -30, -2 ]
