BASE 46 3
PP -1 123 -1
PP -1 121 31/8
PP -1 119 -3/4
PP -1 115 -21/8
PP -1 108 -4
PP -1 96 -2
PP -1 95 -7/2
PP -1 32 -4
PP -1 27 4
PP -1 25 1/2
PP -1 24 -5/2
PP -1 23 -5/2
PP -1 19 -21/8
PP -1 16 -5/4
PP -1 13 10
PP -1 12 8
PP -1 11 5/2
PP -1 8 -7/4
PP -1 6 9/2
PP -1 5 5/2
PP -1 4 33/2
PP -1 3 -2
PP -1 2 23/4
PP -1 1 77/8
PP -2 123 -1
PP -2 121 1/8
PP -2 119 -1/4
PP -2 115 -3/8
PP -2 95 1/2
PP -2 32 1
PP -2 25 1/2
PP -2 24 1/2
PP -2 23 1/2
PP -2 19 -3/8
PP -2 16 -7/4
PP -2 13 1
PP -2 11 -1/2
PP -2 8 3/4
PP -2 6 -1/2
PP -2 5 -1/2
PP -2 4 3/2
PP -2 2 1/4
PP -2 1 3/8
DONE
