PROBE key 11 infty -3 ram [ -552, -24, -8, -3 ] intsol true solden 1
PROBE key 12 infty -3 ram [ -552, -276, -3 ] intsol true solden 1
PROBE key 13 infty -3 ram [ -24, -3 ] intsol true solden 1
PROBE key 11 infty -3 ram [ -552, -24, -8, -3 ] intsol true solden 1
PROBE key 12 infty -3 ram [ -552, -276, -3 ] intsol true solden 1
PROBE key 13 infty -3 ram [ -24, -3 ] intsol true solden 1
PROBE key 11 infty -3 ram [ -552, -24, -8, -3 ] intsol true solden 1
PROBE key 12 infty -3 ram [ -552, -276, -3 ] intsol true solden 1
PROBE key 13 infty -3 ram [ -24, -3 ] intsol true solden 1
PROBE key 11 infty -3 ram [ -552, -24, -8, -3 ] intsol true solden 1
PROBE key 12 infty -3 ram [ -552, -276, -3 ] intsol true solden 1
PROBE key 13 infty -3 ram [ -24, -3 ] intsol true solden 1
PROBE key 11 infty -3 ram [ -552, -24, -8, -3 ] intsol true solden 1
PROBE key 12 infty -3 ram [ -552, -276, -3 ] intsol true solden 1
PROBE key 13 infty -3 ram [ -24, -3 ] intsol true solden 1
PROBE key 11 infty -3 ram [ -552, -24, -8, -3 ] intsol true solden 1
PROBE key 12 infty -3 ram [ -552, -276, -3 ] intsol true solden 1
PROBE key 13 infty -3 ram [ -24, -3 ] intsol true solden 1
PROBE key 11 infty -8 ram [ -552, -24, -8 ] intsol true solden 1
PROBE key 12 infty -8 ram [ -552, -276, -8 ] intsol true solden 1
PROBE key 11 infty -8 ram [ -552, -24, -8 ] intsol true solden 1
PROBE key 12 infty -8 ram [ -552, -276, -8 ] intsol true solden 1
PROBE key 11 infty -8 ram [ -552, -24, -8 ] intsol true solden 1
PROBE key 12 infty -8 ram [ -552, -276, -8 ] intsol true solden 1
PROBE key 11 infty -8 ram [ -552, -24, -8 ] intsol true solden 1
PROBE key 12 infty -8 ram [ -552, -276, -8 ] intsol true solden 1
PROBE key 11 infty -8 ram [ -552, -24, -8 ] intsol true solden 1
PROBE key 12 infty -8 ram [ -552, -276, -8 ] intsol true solden 1
PROBE key 11 infty -8 ram [ -552, -24, -8 ] intsol true solden 1
PROBE key 12 infty -8 ram [ -552, -276, -8 ] intsol true solden 1
PROBE key 11 infty -24 ram [ -552, -8, -24 ] intsol true solden 1
PROBE key 12 infty -24 ram [ -552, -276, -24 ] intsol true solden 1
PROBE key 13 infty -24 ram [ -3, -24 ] intsol true solden 1
PROBE key 11 infty -24 ram [ -552, -8, -24 ] intsol true solden 1
PROBE key 12 infty -24 ram [ -552, -276, -24 ] intsol true solden 1
PROBE key 13 infty -24 ram [ -3, -24 ] intsol true solden 1
PROBE key 11 infty -24 ram [ -552, -8, -24 ] intsol true solden 1
PROBE key 12 infty -24 ram [ -552, -276, -24 ] intsol true solden 1
PROBE key 13 infty -24 ram [ -3, -24 ] intsol true solden 1
PROBE key 11 infty -24 ram [ -552, -8, -24 ] intsol true solden 1
PROBE key 12 infty -24 ram [ -552, -276, -24 ] intsol true solden 1
PROBE key 13 infty -24 ram [ -3, -24 ] intsol true solden 1
PROBE key 11 infty -24 ram [ -552, -8, -24 ] intsol true solden 1
PROBE key 12 infty -24 ram [ -552, -276, -24 ] intsol true solden 1
PROBE key 13 infty -24 ram [ -3, -24 ] intsol true solden 1
PROBE key 11 infty -24 ram [ -552, -8, -24 ] intsol true solden 1
PROBE key 12 infty -24 ram [ -552, -276, -24 ] intsol true solden 1
PROBE key 13 infty -24 ram [ -3, -24 ] intsol true solden 1
PROBE key 11 infty -123 ram [ -552, -24, -8, -123 ] intsol true solden 1
PROBE key 12 infty -123 ram [ -552, -276, -123 ] intsol true solden 1
PROBE key 13 infty -123 ram [ -24, -3, -123 ] intsol true solden 4
PROBE key 14 infty -123 ram [ -24, -276, -8, -123 ] intsol true solden 4
PROBE key 15 infty -123 ram [ -552, -8, -3, -123 ] intsol true solden 1
PROBE key 9 infty -123 ram [ -552, -24, -276, -3, -123 ] intsol true solden 1
PROBE key -1 infty -123 ram [ -3, -123 ] intsol true solden 8
PROBE key 10 infty -123 ram [ -276, -8, -3, -123 ] intsol true solden 4
PROBE key -2 infty -123 ram [ -8, -123 ] intsol true solden 8
BASE 46 3 9
PP -2 oo 123 -1
PP -2 oo 47 -1
PP -2 oo 36 1
PP -2 oo 32 1
PP -2 oo 24 1
PP -2 oo 16 -1
PP -2 oo 13 1
PP -2 oo 9 -1
PP -2 oo 6 -1
PP -2 oo 4 2
PP -2 oo 2 1
PP -2 oo 1 -1
VERD -2 oo 123 12 1 0 INTEGRAL
PP -1 oo 123 -1
PP -1 oo 92 2
PP -1 oo 48 2
PP -1 oo 47 4
PP -1 oo 39 4
PP -1 oo 36 -1
PP -1 oo 24 -3
PP -1 oo 23 4
PP -1 oo 13 4
PP -1 oo 12 4
PP -1 oo 11 -2
PP -1 oo 9 1
PP -1 oo 8 4
PP -1 oo 6 3
PP -1 oo 5 -2
PP -1 oo 4 3
PP -1 oo 2 -4
PP -1 oo 1 3
VERD -1 oo 123 18 1 0 INTEGRAL
PP 9 oo 138 2
PP 9 oo 123 -6
PP 9 oo 92 8
PP 9 oo 69 2
PP 9 oo 48 4
PP 9 oo 47 4
PP 9 oo 39 14
PP 9 oo 36 2
PP 9 oo 32 2
PP 9 oo 25 -4
PP 9 oo 23 8
PP 9 oo 19 2
PP 9 oo 16 -6
PP 9 oo 13 14
PP 9 oo 12 10
PP 9 oo 11 2
PP 9 oo 10 -2
PP 9 oo 9 -2
PP 9 oo 8 10
PP 9 oo 7 2
PP 9 oo 6 2
PP 9 oo 5 2
PP 9 oo 4 14
PP 9 oo 3 -8
PP 9 oo 2 -12
VERD 9 oo 138 25 1 1 INTEGRAL
PP 10 oo 123 -4
PP 10 oo 92 4
PP 10 oo 69 2
PP 10 oo 48 4
PP 10 oo 47 2
PP 10 oo 39 8
PP 10 oo 36 2
PP 10 oo 32 2
PP 10 oo 25 -2
PP 10 oo 23 4
PP 10 oo 16 -4
PP 10 oo 13 8
PP 10 oo 12 6
PP 10 oo 11 2
PP 10 oo 10 -2
PP 10 oo 9 -2
PP 10 oo 8 6
PP 10 oo 4 10
PP 10 oo 3 -4
PP 10 oo 2 -6
PP 10 oo 1 -2
VERD 10 oo 123 21 1 1 INTEGRAL
PP 11 oo 138 2
PP 11 oo 123 -4
PP 11 oo 92 4
PP 11 oo 39 6
PP 11 oo 36 2
PP 11 oo 32 2
PP 11 oo 25 -2
PP 11 oo 24 2
PP 11 oo 23 4
PP 11 oo 19 2
PP 11 oo 16 -4
PP 11 oo 13 8
PP 11 oo 12 4
PP 11 oo 9 -2
PP 11 oo 8 4
PP 11 oo 7 2
PP 11 oo 5 2
PP 11 oo 4 8
PP 11 oo 3 -4
PP 11 oo 2 -4
VERD 11 oo 138 20 1 0 INTEGRAL
PP 12 oo 138 2
PP 12 oo 123 -4
PP 12 oo 92 4
PP 12 oo 69 2
PP 12 oo 48 2
PP 12 oo 39 6
PP 12 oo 36 2
PP 12 oo 32 2
PP 12 oo 25 -2
PP 12 oo 24 2
PP 12 oo 23 2
PP 12 oo 19 2
PP 12 oo 16 -6
PP 12 oo 13 8
PP 12 oo 12 4
PP 12 oo 11 4
PP 12 oo 10 -2
PP 12 oo 9 -2
PP 12 oo 8 4
PP 12 oo 7 2
PP 12 oo 6 -2
PP 12 oo 5 4
PP 12 oo 4 8
PP 12 oo 3 -6
PP 12 oo 2 -6
PP 12 oo 1 -2
VERD 12 oo 138 26 1 0 INTEGRAL
PP 13 oo 123 -2
PP 13 oo 92 4
PP 13 oo 48 2
PP 13 oo 47 4
PP 13 oo 39 8
PP 13 oo 25 -2
PP 13 oo 24 -2
PP 13 oo 23 6
PP 13 oo 13 6
PP 13 oo 12 6
PP 13 oo 11 -2
PP 13 oo 8 6
PP 13 oo 6 4
PP 13 oo 5 -2
PP 13 oo 4 6
PP 13 oo 3 -2
PP 13 oo 2 -6
PP 13 oo 1 2
VERD 13 oo 123 18 1 0 INTEGRAL
PP 14 oo 123 -4
PP 14 oo 92 4
PP 14 oo 69 2
PP 14 oo 48 2
PP 14 oo 47 -2
PP 14 oo 39 8
PP 14 oo 36 4
PP 14 oo 32 2
PP 14 oo 25 -4
PP 14 oo 24 4
PP 14 oo 23 2
PP 14 oo 16 -4
PP 14 oo 13 6
PP 14 oo 12 4
PP 14 oo 11 4
PP 14 oo 10 -2
