BASE 33 2 9
PP -2 27 -3/2
PP -2 26 -7/2
PP -2 23 -1/2
PP -2 22 2
PP -2 11 -4
PP -2 10 951695/2
PP -2 9 7/2
PP -2 8 -2907795
PP -2 7 3917335
PP -2 6 -6882979/2
PP -2 5 3
PP -2 3 3/2
PP -2 2 -1067397/2
PP -2 1 -5/2
VERD -2 27 14 2 6 NONINTEGRAL
PP -1 27 -1/2
PP -1 26 -1/2
PP -1 23 1/2
PP -1 11 -2
PP -1 10 571017/2
PP -1 9 1/2
PP -1 8 -1744677
PP -1 7 2350401
PP -1 6 -4129785/2
PP -1 5 1
PP -1 3 5/2
PP -1 2 -640435/2
PP -1 1 -3/2
VERD -1 27 13 2 6 NONINTEGRAL
PP 9 66 2
PP 9 33 2
PP 9 27 -2
PP 9 11 -6
PP 9 10 761356
PP 9 9 -2
PP 9 8 -4652472
PP 9 7 6267736
PP 9 6 -5506380
PP 9 3 4
PP 9 2 -853916
PP 9 1 -6
VERD 9 66 12 1 6 INTEGRAL
PP 10 33 2
PP 10 27 -2
PP 10 26 -2
PP 10 22 2
PP 10 11 -6
PP 10 10 761356
PP 10 9 2
PP 10 8 -4652472
PP 10 7 6267736
PP 10 6 -5506384
PP 10 5 4
PP 10 3 4
PP 10 2 -853920
PP 10 1 -6
VERD 10 33 14 1 6 INTEGRAL
PP 11 66 2
PP 11 27 -3
PP 11 22 2
PP 11 20 -1
PP 11 14 4
PP 11 11 -10
PP 11 10 951695
PP 11 9 3
PP 11 8 -5815590
PP 11 7 7834670
PP 11 6 -6882975
PP 11 5 1
PP 11 3 3
PP 11 2 -1067395
PP 11 1 -5
VERD 11 66 15 1 6 INTEGRAL
PP 12 66 2
PP 12 33 2
PP 12 27 -3
PP 12 22 2
PP 12 20 -1
PP 12 14 2
PP 12 11 -10
PP 12 10 951695
PP 12 9 1
PP 12 8 -5815590
PP 12 7 7834670
PP 12 6 -6882977
PP 12 5 1
PP 12 3 3
PP 12 2 -1067399
PP 12 1 -7
VERD 12 66 16 1 6 INTEGRAL
PP 13 27 -2
PP 13 26 -4
PP 13 22 2
PP 13 11 -6
PP 13 10 761356
PP 13 9 4
PP 13 8 -4652472
PP 13 7 6267736
PP 13 6 -5506382
PP 13 5 4
PP 13 3 4
PP 13 2 -853916
PP 13 1 -4
VERD 13 27 13 1 6 INTEGRAL
PP 14 33 2
PP 14 14 -2
PP 14 9 -2
PP 14 6 -2
PP 14 2 -4
PP 14 1 -2
VERD 14 33 6 1 0 INTEGRAL
PP 15 66 2
PP 15 27 -2
PP 15 14 2
PP 15 11 -6
PP 15 10 761356
PP 15 8 -4652472
PP 15 7 6267736
PP 15 6 -5506378
PP 15 3 4
PP 15 2 -853912
PP 15 1 -4
VERD 15 66 11 1 6 INTEGRAL
BASEVERD 33 2 NONINTEGRAL
DONE
