BASE 15 2  M = 60  |D| = 1800
KUBOTA units (word for w; unit for the INVERSE-letter word):
KUB c=0 d=1 gcd=60 unit=1
KUB c=1 d=0 gcd=1 unit=1
KUB c=1 d=1 gcd=1 unit=1
KUB c=1 d=2 gcd=1 unit=1
KUB c=1 d=3 gcd=1 unit=1
KUB c=1 d=4 gcd=1 unit=1
KUB c=1 d=5 gcd=1 unit=1
KUB c=1 d=6 gcd=1 unit=1
KUB c=1 d=7 gcd=1 unit=1
KUB c=1 d=8 gcd=1 unit=1
KUB c=1 d=9 gcd=1 unit=1
KUB c=1 d=10 gcd=1 unit=1
KUB c=1 d=11 gcd=1 unit=1
KUB c=1 d=12 gcd=1 unit=1
KUB c=1 d=13 gcd=1 unit=1
KUB c=1 d=14 gcd=1 unit=1
KUB c=1 d=15 gcd=1 unit=1
KUB c=1 d=16 gcd=1 unit=1
KUB c=1 d=17 gcd=1 unit=1
KUB c=1 d=18 gcd=1 unit=1
KUB c=1 d=19 gcd=1 unit=1
KUB c=1 d=20 gcd=1 unit=1
KUB c=1 d=21 gcd=1 unit=1
KUB c=1 d=22 gcd=1 unit=1
KUB c=1 d=23 gcd=1 unit=1
KUB c=1 d=24 gcd=1 unit=1
KUB c=1 d=25 gcd=1 unit=1
KUB c=1 d=26 gcd=1 unit=1
KUB c=1 d=27 gcd=1 unit=1
KUB c=1 d=28 gcd=1 unit=1
KUB c=1 d=29 gcd=1 unit=1
KUB c=1 d=30 gcd=1 unit=1
KUB c=1 d=31 gcd=1 unit=1
KUB c=1 d=32 gcd=1 unit=1
KUB c=1 d=33 gcd=1 unit=1
KUB c=1 d=34 gcd=1 unit=1
KUB c=1 d=35 gcd=1 unit=1
KUB c=1 d=36 gcd=1 unit=1
KUB c=1 d=37 gcd=1 unit=1
KUB c=1 d=38 gcd=1 unit=1
KUB c=1 d=39 gcd=1 unit=1
KUB c=1 d=40 gcd=1 unit=1
KUB c=1 d=41 gcd=1 unit=1
KUB c=1 d=42 gcd=1 unit=1
KUB c=1 d=43 gcd=1 unit=1
KUB c=1 d=44 gcd=1 unit=1
KUB c=1 d=45 gcd=1 unit=1
KUB c=1 d=46 gcd=1 unit=1
KUB c=1 d=47 gcd=1 unit=1
KUB c=1 d=48 gcd=1 unit=1
KUB c=1 d=49 gcd=1 unit=1
KUB c=1 d=50 gcd=1 unit=1
KUB c=1 d=51 gcd=1 unit=1
KUB c=1 d=52 gcd=1 unit=1
KUB c=1 d=53 gcd=1 unit=1
KUB c=1 d=54 gcd=1 unit=1
KUB c=1 d=55 gcd=1 unit=1
KUB c=1 d=56 gcd=1 unit=1
KUB c=1 d=57 gcd=1 unit=1
KUB c=1 d=58 gcd=1 unit=1
KUB c=1 d=59 gcd=1 unit=1
KUB c=2 d=1 gcd=2 unit=1
KUB c=2 d=3 gcd=2 unit=1
KUB c=2 d=5 gcd=2 unit=1
KUB c=2 d=7 gcd=2 unit=1
KUB c=2 d=9 gcd=2 unit=1
KUB c=2 d=11 gcd=2 unit=1
KUB c=2 d=13 gcd=2 unit=1
