BASE 6 107 9
PP -2 oo 330 -203/9
PP -2 oo 328 -2
PP -2 oo 327 -2
PP -2 oo 326 16/3
PP -2 oo 323 -2/3
PP -2 oo 320 -28/3
PP -2 oo 317 -7/3
PP -2 oo 312 3
PP -2 oo 292 4
PP -2 oo 288 -2
PP -2 oo 268 -1
PP -2 oo 252 -1
PP -2 oo 119 -2755/18
PP -2 oo 118 -29/18
PP -2 oo 117 145/3
PP -2 oo 116 -29/18
PP -2 oo 112 1
PP -2 oo 111 -203/18
PP -2 oo 110 1421/9
PP -2 oo 108 -29/6
PP -2 oo 107 -29/3
PP -2 oo 105 -3683/36
PP -2 oo 102 -3451/36
PP -2 oo 101 2639/36
PP -2 oo 100 -2291/18
PP -2 oo 99 -1073/12
PP -2 oo 92 203/36
PP -2 oo 90 725/4
PP -2 oo 89 -319/12
PP -2 oo 88 3
PP -2 oo 87 1421/18
PP -2 oo 86 145/9
PP -2 oo 85 203/9
PP -2 oo 84 1
PP -2 oo 83 -1943/36
PP -2 oo 82 2
PP -2 oo 81 -1363/36
PP -2 oo 79 -145/2
PP -2 oo 78 -3
PP -2 oo 77 19/3
PP -2 oo 76 87
PP -2 oo 75 -1943/18
PP -2 oo 74 -46/3
PP -2 oo 73 -4
PP -2 oo 72 -5
PP -2 oo 69 -1885/36
PP -2 oo 68 -17
PP -2 oo 67 1
PP -2 oo 65 -19/3
PP -2 oo 64 464/3
PP -2 oo 63 6
PP -2 oo 62 -551/36
PP -2 oo 61 -841/18
PP -2 oo 59 -11
PP -2 oo 57 2755/18
PP -2 oo 56 29/4
PP -2 oo 55 9
PP -2 oo 54 -1
PP -2 oo 53 -145/36
PP -2 oo 52 -145/3
PP -2 oo 51 1
PP -2 oo 50 5
PP -2 oo 49 -2320/9
PP -2 oo 48 3799/18
PP -2 oo 47 -116/3
PP -2 oo 44 841/18
PP -2 oo 42 -5423/36
PP -2 oo 41 -261/2
PP -2 oo 40 2146/9
PP -2 oo 39 -145/9
PP -2 oo 38 -1/3
PP -2 oo 37 -87/2
PP -2 oo 36 -3277/36
PP -2 oo 35 -3683/36
PP -2 oo 34 725/18
PP -2 oo 33 2059/36
PP -2 oo 32 -8
PP -2 oo 31 6
PP -2 oo 30 1363/9
PP -2 oo 29 3335/36
PP -2 oo 27 -3625/36
PP -2 oo 26 -5/3
PP -2 oo 25 812/3
PP -2 oo 24 5
PP -2 oo 23 87/2
PP -2 oo 22 -3
PP -2 oo 21 -1
PP -2 oo 20 7/3
PP -2 oo 19 -551/18
PP -2 oo 18 6
PP -2 oo 17 3
PP -2 oo 16 203/3
PP -2 oo 15 6
PP -2 oo 14 1015/18
PP -2 oo 13 145/9
PP -2 oo 12 145/36
PP -2 oo 11 812/9
PP -2 oo 10 -464/3
PP -2 oo 9 1885/36
PP -2 oo 8 -43/3
PP -2 oo 6 -6
PP -2 oo 5 -4/3
PP -2 oo 4 -580/9
PP -2 oo 3 -3857/36
PP -2 oo 2 20/3
PP -2 oo 1 319/18
VERD -2 oo 330 106 36 3 NONINTEGRAL
PP -1 oo 330 -49/9
PP -1 oo 327 1
PP -1 oo 326 -1/3
PP -1 oo 323 -1/3
PP -1 oo 320 -2/3
PP -1 oo 317 1/3
PP -1 oo 312 2
PP -1 oo 292 1
PP -1 oo 288 -2
PP -1 oo 268 -1
PP -1 oo 240 1
PP -1 oo 124 1
PP -1 oo 119 -665/18
PP -1 oo 118 -7/18
PP -1 oo 117 35/3
PP -1 oo 116 -7/18
PP -1 oo 111 -49/18
PP -1 oo 110 343/9
PP -1 oo 108 -7/6
PP -1 oo 107 -7/3
PP -1 oo 105 -889/36
PP -1 oo 102 -833/36
PP -1 oo 101 637/36
PP -1 oo 100 -553/18
