BASE 22 17 9
PP -2 oo 121 -2
PP -2 oo 104 -1
PP -2 oo 103 -2
PP -2 oo 100 -2
PP -2 oo 67 1
PP -2 oo 55 -2
PP -2 oo 32 -2
PP -2 oo 30 -2
PP -2 oo 26 1
PP -2 oo 25 2
PP -2 oo 18 2
PP -2 oo 16 -2
PP -2 oo 15 2
PP -2 oo 8 -2
PP -2 oo 4 1
PP -2 oo 1 -1
VERD -2 oo 121 16 1 0 INTEGRAL
PP -1 oo 187 2
PP -1 oo 121 -2
PP -1 oo 54 -2/3
PP -1 oo 51 -2/3
PP -1 oo 48 2/3
PP -1 oo 46 2/3
PP -1 oo 44 2/3
PP -1 oo 43 2
PP -1 oo 41 -4/3
PP -1 oo 37 4/3
PP -1 oo 35 -2/3
PP -1 oo 32 -2/3
PP -1 oo 31 -2/3
PP -1 oo 29 -2/3
PP -1 oo 28 -4/3
PP -1 oo 27 -2/3
PP -1 oo 23 -2/3
PP -1 oo 22 -2/3
PP -1 oo 21 2/3
PP -1 oo 19 -8/3
PP -1 oo 14 -2/3
PP -1 oo 13 -2/3
PP -1 oo 12 2/3
PP -1 oo 11 -2/3
PP -1 oo 10 2/3
PP -1 oo 8 -4/3
PP -1 oo 7 4/3
PP -1 oo 4 -2
PP -1 oo 3 -2/3
PP -1 oo 2 -2
VERD -1 oo 187 30 3 0 NONINTEGRAL
PP 8 oo 374 2
PP 8 oo 280 20
PP 8 oo 236 -2
PP 8 oo 187 2
PP 8 oo 121 -12
PP 8 oo 104 -12
PP 8 oo 103 -16
PP 8 oo 70 -20
PP 8 oo 64 -6
PP 8 oo 60 2
PP 8 oo 59 2
PP 8 oo 55 -16
PP 8 oo 54 -2/3
PP 8 oo 51 4/3
PP 8 oo 50 2
PP 8 oo 48 -4/3
PP 8 oo 47 10
PP 8 oo 46 2/3
PP 8 oo 44 2/3
PP 8 oo 41 -4/3
PP 8 oo 40 1
PP 8 oo 39 1
PP 8 oo 37 1/3
PP 8 oo 36 -24
