BASE 14 37 9
PP -2 oo 257 -3/2
PP -2 oo 255 7/2
PP -2 oo 252 1
PP -2 oo 247 -2
PP -2 oo 232 -1
PP -2 oo 212 -1
PP -2 oo 184 -2
PP -2 oo 175 -2
PP -2 oo 148 -1
PP -2 oo 144 -1
PP -2 oo 75 -2
PP -2 oo 73 -3/2
PP -2 oo 72 1/2
PP -2 oo 71 2
PP -2 oo 67 1
PP -2 oo 66 3/2
PP -2 oo 63 -1
PP -2 oo 61 -1/2
PP -2 oo 60 1/4
PP -2 oo 59 1
PP -2 oo 58 1
PP -2 oo 57 1/4
PP -2 oo 56 -1/2
PP -2 oo 55 1/2
PP -2 oo 54 1
PP -2 oo 53 1
PP -2 oo 52 3/2
PP -2 oo 51 -2
PP -2 oo 50 -9/4
PP -2 oo 49 -1
PP -2 oo 48 5/2
PP -2 oo 47 1/2
PP -2 oo 46 2
PP -2 oo 45 -1/2
PP -2 oo 42 -5/2
PP -2 oo 41 5/2
PP -2 oo 39 -3/4
PP -2 oo 38 1
PP -2 oo 37 1
PP -2 oo 35 -3/2
PP -2 oo 34 -3/2
PP -2 oo 33 -3/2
PP -2 oo 32 1/4
PP -2 oo 31 1/2
PP -2 oo 29 -3/2
PP -2 oo 28 -1
PP -2 oo 27 1/2
PP -2 oo 26 -2
PP -2 oo 24 1/2
PP -2 oo 23 -7/4
PP -2 oo 22 1/4
PP -2 oo 20 -1
PP -2 oo 18 -5/2
PP -2 oo 17 3/2
PP -2 oo 16 -1
PP -2 oo 15 3/4
PP -2 oo 14 -1
PP -2 oo 13 1
PP -2 oo 12 -9/2
PP -2 oo 10 3/2
PP -2 oo 9 1
PP -2 oo 8 -1/4
PP -2 oo 7 1
PP -2 oo 6 1/2
PP -2 oo 5 -1
PP -2 oo 4 -1
PP -2 oo 3 5/2
PP -2 oo 2 -5/4
PP -2 oo 1 -1
VERD -2 oo 257 69 4 0 NONINTEGRAL
PP -1 oo 257 -9/2
PP -1 oo 255 5/2
PP -1 oo 252 1
PP -1 oo 247 -3
PP -1 oo 232 -2
PP -1 oo 212 -2
PP -1 oo 184 -4
PP -1 oo 176 1
PP -1 oo 175 -2
PP -1 oo 148 -3
PP -1 oo 75 -1
PP -1 oo 73 -3/2
PP -1 oo 72 3/2
PP -1 oo 71 4
PP -1 oo 66 9/2
PP -1 oo 64 -1
PP -1 oo 63 -3
PP -1 oo 61 -3/2
PP -1 oo 60 3/4
PP -1 oo 59 3
PP -1 oo 58 2
PP -1 oo 57 3/4
PP -1 oo 56 -3/2
PP -1 oo 55 3/2
PP -1 oo 54 3
PP -1 oo 53 2
PP -1 oo 52 9/2
PP -1 oo 51 -6
PP -1 oo 50 -27/4
PP -1 oo 49 -1
PP -1 oo 48 1/2
PP -1 oo 47 3/2
PP -1 oo 46 4
PP -1 oo 45 -3/2
PP -1 oo 42 -15/2
PP -1 oo 41 5/2
PP -1 oo 40 2
PP -1 oo 39 -9/4
PP -1 oo 37 3
PP -1 oo 35 -9/2
PP -1 oo 34 -5/2
PP -1 oo 33 -1/2
PP -1 oo 32 3/4
PP -1 oo 31 3/2
PP -1 oo 29 -9/2
PP -1 oo 28 1
PP -1 oo 27 3/2
PP -1 oo 26 -3
PP -1 oo 24 3/2
PP -1 oo 23 -21/4
PP -1 oo 22 3/4
PP -1 oo 20 -3
PP -1 oo 18 -15/2
PP -1 oo 17 9/2
PP -1 oo 16 -1
PP -1 oo 15 9/4
PP -1 oo 14 -3
PP -1 oo 13 3
PP -1 oo 12 -9/2
PP -1 oo 10 5/2
PP -1 oo 8 -3/4
PP -1 oo 7 1
PP -1 oo 6 3/2
PP -1 oo 5 -3
PP -1 oo 4 -1
PP -1 oo 3 5/2
PP -1 oo 2 -15/4
VERD -1 oo 257 67 4 1 NONINTEGRAL
PP 8 oo 518 2
PP 8 oo 517 -5/3
PP 8 oo 516 -1/2
PP 8 oo 511 -10/3
PP 8 oo 508 20/3
PP 8 oo 490 4/3
PP 8 oo 480 -14/3
PP 8 oo 471 -7/3
PP 8 oo 455 10/3
PP 8 oo 448 2/3
PP 8 oo 441 -10/3
PP 8 oo 407 -1/3
PP 8 oo 400 14/3
PP 8 oo 380 8/3
PP 8 oo 359 -14/3
PP 8 oo 259 2
PP 8 oo 75 11/3
PP 8 oo 73 5/3
PP 8 oo 72 -5/6
PP 8 oo 71 5/3
PP 8 oo 68 1
PP 8 oo 66 1/2
PP 8 oo 64 -6
PP 8 oo 63 -28/3
PP 8 oo 61 -5/6
PP 8 oo 60 1
PP 8 oo 59 13/6
PP 8 oo 57 1/2
PP 8 oo 56 -4/3
PP 8 oo 55 5/6
PP 8 oo 54 -1/3
PP 8 oo 51 -4/3
PP 8 oo 50 -7/3
PP 8 oo 49 -14/3
PP 8 oo 48 -31/3
PP 8 oo 47 -4/3
PP 8 oo 45 -5/6
PP 8 oo 44 -8
PP 8 oo 42 -8/3
PP 8 oo 41 2/3
PP 8 oo 40 -1
PP 8 oo 39 -3/2
PP 8 oo 38 -4
